Prospect #,Firm Name,Phone,Email,Email Status,Location / Address on file,Website,Size,Specialization,Why Target,Source Section,Contacted Already,First Contact Date,Contact Wave,Sequence,Email 1 Subject,Email 2 Sent Date,Email 2 Subject
2,Mei CPA PC,(718) 975-3363,info@meicpa.com,Confirmed,"Brooklyn, NY",https://meicpa.com,Small (2-5 employees),"Full-service CPA - tax prep, bookkeeping, IRS audit representation, payroll, ITIN issuance",IRS Certified Acceptance Agent issuing ITINs means heavy immigrant/international client base - these clients are ideal for WhatsApp-based communication. High-volume individual tax returns.,NORTHEAST,Yes,2026-03-12,USA Campaign Wave 2,C,Mei CPA PC - reaching clients who prefer WhatsApp,2026-03-19,Re: Mei CPA PC - reaching clients who prefer WhatsApp
7,"MacAlpine Carll and Co., LLC",(215) 923-1101,cpa@macalpinecarll.com,Confirmed,"Philadelphia, PA",https://www.macalpinecarll.com,"Small (est. 1910, longstanding local firm)","Tax management, accounting, audits, financial statements, financial planning",100+ year old firm - deeply rooted local client base likely means hundreds of recurring individual and small business clients. Document collection automation would be transformative.,NORTHEAST,Yes,2026-03-12,USA Campaign Wave 2,A,"MacAlpine Carll and Co., LLC - still chasing clients for documents?",2026-03-19,"Re: MacAlpine Carll and Co., LLC - still chasing clients for documents?"
9,Debbie Griffiths CPA LLC,(404) 874-8271,info@griffithsatlanta.com,Confirmed,"Atlanta, GA",https://www.griffithsatlanta.com,Small (solo/small practice),"Business accounting & advisory, tax solutions, QuickBooks implementation/training",Small firm serving business owners and independent professionals. QuickBooks training shows tech-forward mindset. Solo/small practice would benefit greatly from automation.,SOUTHEAST,Yes,2026-03-12,USA Campaign Wave 2,B,Debbie Griffiths CPA LLC's next automation win,2026-03-19,Re: Debbie Griffiths CPA LLC's next automation win
11,The Atlanta CPA Group LLC,678-235-4060,info@atlcpagroup.com,Confirmed,"Duluth, GA (Metro Atlanta)",https://atlcpagroup.com,Small (est. 2011),"Accounting, tax, business consulting; healthcare, real estate, truckers, tech, entertainers","Diverse niche client base (truckers, entertainers) = lots of unique document needs. AICPA member, QuickBooks certified - tech-forward.",SOUTHEAST,Yes,2026-03-12,USA Campaign Wave 2,B,The one workflow The Atlanta CPA Group LLC probably hasn't automated yet,2026-03-19,Re: The one workflow The Atlanta CPA Group LLC probably hasn't automated yet
13,MiamiCPA LLC,(305) 466-9772,glenn@miamicpa.com,Confirmed,"North Miami, FL",https://www.miamicpa.com,Small,"Tax advisory, international taxes, crypto accounting; serves physicians, real estate, attorneys, foreign nationals, import/export",Bilingual (English/Spanish) with evening/weekend appointments = client-focused culture that values accessibility. International/foreign national clients are WhatsApp-native. Crypto + international = complex document needs.,SOUTHEAST,Yes,2026-03-12,USA Campaign Wave 2,C,Document collection for MiamiCPA LLC's diverse client base,2026-03-19,Re: Document collection for MiamiCPA LLC's diverse client base
15,GLSC & Company PLLC,(305) 373-0123,info@glsccpa.com,Confirmed,"Miami, FL",https://glsccpa.com,"Medium-small (40+ years, affiliated with BKR International)","Auditing, accounting, tax, management consulting for South Florida",40+ year firm = large legacy client base. BKR International affiliation shows ambition beyond a basic local practice.,SOUTHEAST,Yes,2026-03-12,USA Campaign Wave 2,A,The follow-ups killing your team's time at GLSC & Company PLLC,2026-03-19,Re: The follow-ups killing your team's time at GLSC & Company PLLC
17,"Parsons CPA, PLLC",(704) 332-4000,accounting@parsonscpa.com,Confirmed,"Charlotte, NC (also Dallas, NC)",https://www.parsonscpa.com,"Small (est. 1990, 2 locations)","Full-service CPA for privately owned companies and small businesses - tax, accounting, consulting, audits",35+ years serving small businesses with 2 locations. Saturday hours = high demand they're struggling to meet. Document automation would give relief.,SOUTHEAST,Yes,2026-03-12,USA Campaign Wave 2,A,"Quick question about document collection at Parsons CPA, PLLC",2026-03-19,"Re: Quick question about document collection at Parsons CPA, PLLC"
18,"Carolina Accounting & Tax Service, PLLC",(704) 375-2715,service@carolinaaccounting.com,Confirmed,"Charlotte, NC (South Charlotte)",https://www.carolinaaccounting.com,Small,"Bookkeeping, small business accounting, payroll, tax prep, HR management; healthcare, law, real estate, hospitality","Offers HR + payroll alongside accounting = high document volume from multiple service lines. ""Partners in your company's journey"" messaging = relationship-driven, would value client communication tools.",SOUTHEAST,Yes,2026-03-12,USA Campaign Wave 2,A,Carolina Accounting & Tax Service - still chasing clients for documents?,2026-03-19,Re: Carolina Accounting & Tax Service - still chasing clients for documents?
20,Stenger Tax Advisory,(630) 912-8504,Chris.Jordan@stengerfamilyoffice.com,Confirmed,"Naperville, IL (also Chicago, IL & Houston, TX)",https://www.stengertax.com,"Small (3 locations, ~5-10 employees)","Individual/family tax, small business tax (S-corps, C-corps, partnerships), bookkeeping, outsourced accounting, tax planning",Multi-location with diverse client types = scaling challenges in document collection. Connected to family office = high-net-worth clients who expect premium service.,MIDWEST,Yes,2026-03-12,USA Campaign Wave 2,A,The follow-ups killing your team's time at Stenger Tax Advisory,2026-03-19,Re: The follow-ups killing your team's time at Stenger Tax Advisory
21,Rapacki + Co,952-945-5011,joe@rapacki.com,Confirmed,"Edina, MN (Minneapolis metro)",https://rapacki.com,Small,"Taxes, retirement planning, financial statements, long-term financial strategy for individuals and small businesses","Small firm with client-focused approach. Tax + retirement planning = heavy annual document collection from individual clients. ""Solution-oriented mindset"" suggests openness to new tools.",MIDWEST,Yes,2026-03-12,USA Campaign Wave 2,A,Quick question about document collection at Rapacki + Co,2026-03-19,Re: Quick question about document collection at Rapacki + Co
27,L&H CPAs and Advisors,972-421-1099,info@lhcpafirm.com,Confirmed,"Dallas, TX",https://www.lhcpafirm.com,Small (1-10 employees),"Boutique firm - small business tax & accounting, personal tax planning, family office, wealth management, CFO services","Self-described ""boutique sized firm"" with ""relationship driven"" approach. Family office + wealth management = high-touch clients needing seamless document exchange.",SOUTHWEST,Yes,2026-03-12,USA Campaign Wave 2,A,L&H CPAs and Advisors - still chasing clients for documents?,2026-03-19,Re: L&H CPAs and Advisors - still chasing clients for documents?
28,MJ Ahmed CPA PLLC,(214) 636-8100,mj@dallascpa.net,Confirmed,"Dallas, TX",https://dallascpa.net,Small,Accounting & tax services,Small Dallas practice with direct principal email = decision-maker is reachable. Premium domain (dallascpa.net) shows marketing awareness.,SOUTHWEST,Yes,2026-03-12,USA Campaign Wave 2,A,The follow-ups killing your team's time at MJ Ahmed CPA PLLC,2026-03-19,Re: The follow-ups killing your team's time at MJ Ahmed CPA PLLC
31,"SMB CPA Group, PC",(323) 568-1623,contact@smbcpagroup.com,Confirmed,"Los Angeles / Glendale, CA",https://www.smbcpagroup.com,"Small (est. 2021, boutique)","Real estate, creatives/artists, tech, professional services, personal care, healthcare/medical; tax compliance + strategy + planning","Modern boutique founded 2021 = digital-native firm open to new tech. Tiered engagement model (TCO/TCSP/CSOW) shows process sophistication. Creative/artist clients = non-traditional, mobile, WhatsApp-friendly.",WEST COAST,Yes,2026-03-12,USA Campaign Wave 2,B,"SMB CPA Group, PC's next automation win",2026-03-19,"Re: SMB CPA Group, PC's next automation win"
32,"Jarrar & Associates CPA, Inc.",(310) 887-1313,samcpa@jarrarcpa.com,Confirmed,"Beverly Hills, CA (multiple SoCal locations)",https://jarrarcpa.com,Small-Medium (5+ locations across SoCal),"Tax, accounting, financial/retirement planning; Beverly Hills, Marina Del Rey, Santa Monica, Torrance, Irvine",Multi-location SoCal presence = high client volume across wealthy areas. Document collection across 5+ offices = operational pain point WhatsApp automation solves.,WEST COAST,Yes,2026-03-12,USA Campaign Wave 2,A,"Quick question about document collection at Jarrar & Associates CPA, Inc.",2026-03-19,"Re: Quick question about document collection at Jarrar & Associates CPA, Inc."
33,"B.O.L. Global, Inc.",(415) 409-0010,info@bolglobalcpa.com,Confirmed,"San Francisco, CA",https://www.bolglobalcpa.com,"Small (est. 2002, CPAs with 60+ years combined experience)","Full-service CPA for SMBs - bookkeeping, tax, payroll, business startup assistance","""Big firm capability, small firm personality"" = values efficiency + personal touch. 20+ years in SF = deep local client relationships. Serves startups = tech-comfortable clients.",WEST COAST,Yes,2026-03-12,USA Campaign Wave 2,B,"The one workflow B.O.L. Global, Inc. probably hasn't automated yet",2026-03-19,"Re: The one workflow B.O.L. Global, Inc. probably hasn't automated yet"
34,"San Diego, CPA (Professional Tax & Accountancy Corp.)",(858) 800-3888,info@sandiegocpas.com,Confirmed,"San Diego, CA (2 locations)",https://www.sandiegocpas.com,Small (2 offices),Tax and accounting for individuals and businesses; 2 San Diego locations,Two SD locations + toll-free number = serving high volume of clients. Virtual meeting capability shows tech readiness.,WEST COAST,Yes,2026-03-12,USA Campaign Wave 2,B,San Diego CPA's next automation win,2026-03-19,Re: San Diego CPA's next automation win
35,"Thomas Huckabee, CPA, Inc.",(858) 945-5510,thomas.huckabee@tehcpa.net,Confirmed,"La Jolla, CA (San Diego County)",https://tehcpa.net,Small (est. 1984),"Outsourced accounting, CFO consulting, tax planning, QuickBooks Online; real estate, tech, construction, financial services",40+ year firm with outsourced/virtual accounting model = already doing remote work with clients. CFO consulting + QBO = tech-savvy. Serves clients nationwide from La Jolla.,WEST COAST,Yes,2026-03-12,USA Campaign Wave 2,B,"The one workflow Thomas Huckabee, CPA, Inc. probably hasn't automated yet",2026-03-19,"Re: The one workflow Thomas Huckabee, CPA, Inc. probably hasn't automated yet"
37,Perpetual CPA,(503) 217-4114,info@perpetualcpa.com,Confirmed,"Portland, OR",https://perpetualcpa.com,Small (~35 years combined leadership experience),"Full-stack accounting department services - bookkeeping, tax, payroll, virtual CFO; healthcare, dental, cannabis, tech, real estate","""Full-stack accounting"" model = high ongoing document flow from monthly clients. Cannabis industry = complex compliance documentation. Modern brand, nationwide service.",PACIFIC NORTHWEST,Yes,2026-03-12,USA Campaign Wave 2,B,Perpetual CPA's next automation win,2026-03-19,Re: Perpetual CPA's next automation win
38,Neumann Curtis CPAs,(503) 200-2507,info@neumanncurtis.com,Confirmed,"Portland, OR",https://www.neumanncurtis.com,Small,"Tax & advisory for business owners, executives, independent professionals","Business owners + independent professionals = classic high-volume tax client base needing document collection. Portland = progressive, tech-embracing market.",PACIFIC NORTHWEST,Yes,2026-03-12,USA Campaign Wave 2,A,Neumann Curtis CPAs - still chasing clients for documents?,2026-03-19,Re: Neumann Curtis CPAs - still chasing clients for documents?
39,"O'Connor CPA Firm, LLC",303-623-2676 ext 1,Tricia@OConnorCPAFirm.com,Confirmed,"Denver, CO",https://www.oconnorcpafirm.com,Small (boutique by design),"Business accounting, tax, QuickBooks, business advisory; construction, consulting, law, retail","""Small, boutique firm by design"" with strategic growth focus. ""Business Advisors with a foundation in accounting"" = values tools that elevate service. Construction + retail = document-heavy.",MOUNTAIN WEST,Yes,2026-03-12,USA Campaign Wave 2,B,"The one workflow O'Connor CPA Firm, LLC probably hasn't automated yet",2026-03-19,"Re: The one workflow O'Connor CPA Firm, LLC probably hasn't automated yet"
40,Sai CPA Services,(908) 888-8900,info@saicpaservices.com,Confirmed,"East Brunswick, NJ (Northeast)",https://www.saicpaservices.com,,"Tax planning, bookkeeping, payroll, virtual CFO, business valuation",,"Wave 3 Prospects — Added March 12, 2026",Yes,2026-03-13,USA Campaign Wave 3,B,Sai CPA Services's next automation win,,
41,"Demian & Company, LLC (TaxProCPA)",(908) 272-4452,info@taxprocpa.com,Confirmed,"Cranford & Clark, NJ (Northeast)",https://taxprocpa.com,,"Full-service tax & accounting, 2000+ clients, express/remote services",,"Wave 3 Prospects — Added March 12, 2026",Yes,2026-03-13,USA Campaign Wave 3,A,"Demian & Company, LLC - still chasing clients for documents?",,
42,"Brooks & Associates, CPAs, Inc.",(781) 275-4199,info@brookscpafirm.com,Confirmed,"Bedford, MA (Northeast)",https://www.brookscpafirm.com,,"Small business accounting, tax, payroll, bookkeeping",,"Wave 3 Prospects — Added March 12, 2026",Yes,2026-03-13,USA Campaign Wave 3,B,"The one workflow Brooks & Associates, CPAs, Inc. probably hasn't automated yet",,
43,"Blankenship CPA Group, PLLC",(615) 373-3771,info@bcpas.com,Confirmed,"Brentwood, TN - 7 offices across Nashville area (Southeast)",https://www.bcpas.com,,"Tax, audit, bookkeeping, entertainment industry, construction, nonprofits",,"Wave 3 Prospects — Added March 12, 2026",Yes,2026-03-13,USA Campaign Wave 3,A,"The follow-ups killing your team's time at Blankenship CPA Group, PLLC",,
44,Lewis CPA LLC,(615) 400-6314,marye@lewiscpallc.com,Confirmed,"Nashville, TN (Southeast)",https://www.lewiscpallc.com,,"Small business accounting, bookkeeping, healthcare, law firms, music & entertainment",,"Wave 3 Prospects — Added March 12, 2026",Yes,2026-03-13,USA Campaign Wave 3,B,Lewis CPA LLC's next automation win,,
45,Silicon Valley CPA Firm,(650) 300-1980,jph@siliconvalleyCPAFirm.com,Confirmed,"Cupertino, CA (West Coast)",https://www.siliconvalleyaccountant.com,,"Small business, forensic accounting, construction, healthcare, dentists",,"Wave 3 Prospects — Added March 12, 2026",Yes,2026-03-13,USA Campaign Wave 3,B,The one workflow Silicon Valley CPA Firm probably hasn't automated yet,,
46,"K. A. Lindow, CPA, P.C.",(480) 734-3758,ken@lindowcpa.com,Confirmed,"Phoenix, AZ (Southwest)",https://www.lindowcpa.com,,"Small business tax, QuickBooks, self-directed 401K/IRA, real estate, outsourced CPA",,"Wave 3 Prospects — Added March 12, 2026",Yes,2026-03-13,USA Campaign Wave 3,B,"K. A. Lindow, CPA, P.C.'s next automation win",,
47,"Bryant & Associates, LLC",(678) 402-6557,travareis@bryantcpallc.com,Confirmed,"Douglasville, GA (Southeast)",https://www.bryantcpallc.com,,"Small business accounting, tax, QuickBooks, cryptocurrency, forensic accounting",,"Wave 3 Prospects — Added March 12, 2026",Yes,2026-03-13,USA Campaign Wave 3,B,"The one workflow Bryant & Associates, LLC probably hasn't automated yet",,
48,Matthew P. Schlanger CPA LLC,(720) 295-8091,matthew@cpaschlanger.com,Confirmed,"Littleton, CO (Mountain/Denver area)",https://cpaschlanger.com,,"Business accounting, CFO services, tax prep, payroll, QuickBooks",,"Wave 3 Prospects — Added March 12, 2026",Yes,2026-03-13,USA Campaign Wave 3,B,Matthew P. Schlanger CPA LLC's next automation win,,
49,"Jaffer Merchant, CPA",(346) 853-4916,info@jaffermerchantcpa.com,Confirmed,"Houston, TX (Southwest)",https://www.jaffermerchantcpa.com,,"Small business accounting, tax, bookkeeping, QuickBooks, cryptocurrency",,"Wave 3 Prospects — Added March 12, 2026",Yes,2026-03-13,USA Campaign Wave 3,B,"The one workflow Jaffer Merchant, CPA probably hasn't automated yet",,
50,CPA 1099 (Mosher Seifert + Co PC),(281) 991-1099,info@cpa1099.com,Confirmed,"Houston, TX (Southwest)",https://www.cpa1099.com,,"Small business tax, accounting",,"Wave 4 Prospects - Added March 12, 2026 (Batch Research)",Yes,2026-03-13,USA Campaign Wave 3,A,Quick question about document collection at CPA 1099,,
51,Harlem CPA,(917) 733-9367,info@cpaharlem.com,Confirmed,"New York, NY (Northeast)",https://www.cpaharlem.com,,CPA services for individuals and small businesses,,"Wave 4 Prospects - Added March 12, 2026 (Batch Research)",Yes,2026-03-13,USA Campaign Wave 3,C,Harlem CPA - reaching clients who prefer WhatsApp,,
52,Friedman & Associates PA,(410) 653-2456,marc@friedmancpa.com,Confirmed,"Owings Mills, MD (Northeast)",https://www.friedmancpa.com,,"Tax, accounting, consulting",,"Wave 4 Prospects - Added March 12, 2026 (Batch Research)",Yes,2026-03-13,USA Campaign Wave 3,A,Friedman & Associates PA - still chasing clients for documents?,,
53,RALL CPA (Carolina Tax Masters),(704) 295-6404,druocco@rallcpa.com,Confirmed,"Charlotte, NC (Southeast)",https://www.rallcpa.com,,"Tax preparation, accounting",,"Wave 4 Prospects - Added March 12, 2026 (Batch Research)",Yes,2026-03-13,USA Campaign Wave 3,A,The follow-ups killing your team's time at RALL CPA,,
54,NCL CPA Firm,(919) 841-1000,contact@ncllcpa.com,Confirmed,"Raleigh, NC (Southeast)",https://ncllcpa.com,,Tax and accounting services for businesses,,"Wave 4 Prospects - Added March 12, 2026 (Batch Research)",Yes,2026-03-13,USA Campaign Wave 3,A,Quick question about document collection at NCL CPA Firm,,
55,Raymond Lyle CPA PLLC,(206) 970-1208,andrew@raymondlylecpa.com,Confirmed,"Seattle, WA (West Coast)",https://www.raymondlylecpa.com,,"Accounting, tax services",,"Wave 4 Prospects - Added March 12, 2026 (Batch Research)",Yes,2026-03-13,USA Campaign Wave 3,B,Raymond Lyle CPA PLLC's next automation win,,
56,Seattle Tax Group LLC,(206) 333-2610,brian@seattletaxgroup.com,Confirmed,"Seattle, WA (West Coast)",https://www.seattletaxgroup.com,,"CPA, accounting, tax services",,"Wave 4 Prospects - Added March 12, 2026 (Batch Research)",Yes,2026-03-13,USA Campaign Wave 3,B,The one workflow Seattle Tax Group LLC probably hasn't automated yet,,
57,Lockhart & Powell CPAs,(719) 578-8200,reception@lockhartandpowell.com,Confirmed,"Colorado Springs, CO (Mountain)",https://www.lockhartandpowell.com,,Accounting firm,,"Wave 4 Prospects - Added March 12, 2026 (Batch Research)",Yes,2026-03-13,USA Campaign Wave 3,A,Lockhart & Powell CPAs - still chasing clients for documents?,,
58,Pillai CPA,(972) 203-2010,taxinfo@pillaicpa.com,Confirmed,"Dallas, TX (Southwest)",https://www.pillaicpa.com,,"CPA, tax services",,"Wave 4 Prospects - Added March 12, 2026 (Batch Research)",Yes,2026-03-13,USA Campaign Wave 3,C,Document collection for Pillai CPA's diverse client base,,
59,Hollis CPA Firm,(512) 539-0440,cameron@holliscpa.com,Confirmed,"Austin, TX (Southwest)",https://www.holliscpa.com,,"Tax, accounting",,"Wave 4 Prospects - Added March 12, 2026 (Batch Research)",Yes,2026-03-13,USA Campaign Wave 3,A,The follow-ups killing your team's time at Hollis CPA Firm,,
